h_t,c_t
0.32769698,0.54311764
0.12431157400000001,2.9411582999999997
0.20001225,9.568805000000001
-0.11628226,-0.19824402
0.0065625909999999996,1.7536168999999997
-0.015732931000000002,-1.5975033
-0.035657287,-0.5382329
0.1852575,1.4274459
-0.18328495,-12.439414
0.15236573,37.075214
0.28545657,1.6770836
0.18093382,0.47228435
0.075656526,1.0796801999999999
-0.28838003,-0.32430503
0.086404316,7.4261794000000005
0.032149564,0.26081654
-0.019338222,-0.108481206
-0.36030890000000004,-1.4184967
0.022853917999999997,0.46756620000000004
0.027313137,0.31364986
0.11891379,3.9585392
-0.057223755999999994,-46.190459999999995
-0.14125358,-0.19831994
0.06339499,4.4764256
-0.22653398,-1.4737451000000001
0.2029818,1.790298
0.0008852725,0.05527538
-0.0057440777,-0.18959022
0.067431636,0.22166035
0.5400358000000001,2.1001133999999997
0.013732717,0.043420232999999996
-0.12765914,-0.18074875
-0.72679263,-17.866446
0.02972511,0.22575213
-0.03742775,-0.40672097
-0.08656140400000001,-0.34241062
0.013561799,0.48956305
0.55148005,0.8731054
0.12755604,0.15593398
-0.12695466,-1.5399586
0.0031445506,0.17858826
-0.6791906,-5.8191977
0.058642596,1.719581
-0.14948028,-0.6204006999999999
0.040469196,17.409111
0.019659203,0.165373
0.41104466,1.6256378999999999
-0.033773027000000004,-5.4673753
-0.24068847,-2.311361
-0.16187862,-4.321267
0.23446901,1.7583779999999998
-0.1579131,-13.110024
-0.4778361,-1.3000025
-0.17952994,-0.4495531
-0.11454129,-5.6120787000000005
-0.07666081,-0.31158158
0.15105233,1.4891157
0.031165846,6.326467
-0.29269552,-9.288115
0.18545770000000003,11.783824000000001
0.21912996,1.9361291
-0.14722118,-19.079607
0.00796196,0.02365474
-0.351673,-5.4089602999999995
